,Year_month,WELL,X,Y,MONTH,OIL_VOLUME(Kls),GAS_VOLUME(MSCUM),WATER_VOLUME(Kls),OIL_RATE(KLPD),GAS_RATE(mscum d),WATER_RATE(KLPD),WATER_CUT(%),GOR(scum/kl)
0,1993-07-01 00:00:00,HJN023,3281111.05,1088223.12,1993-07-01,297.6,59440,0,58.35294118,11654.90196,0,0,199.7311828
1,1993-08-01 00:00:00,HJN023,3281111.05,1088223.12,1993-08-01,1537.4,366776.1,0,73.91346154,17633.46635,0,0,238.5690777
2,1993-09-01 00:00:00,HJN023,3281111.05,1088223.12,1993-09-01,2060.1,570547.5,0,68.67,19018.25,0,0,276.9513616
3,1993-10-01 00:00:00,HJN023,3281111.05,1088223.12,1993-10-01,2145.1,535739.8,0,69.87296417,17450.80782,0,0,249.7505011
4,1993-11-01 00:00:00,HJN023,3281111.05,1088223.12,1993-11-01,2625.4,442241.2,0,87.51333333,14741.37333,0,0,168.44717
5,1993-12-01 00:00:00,HJN023,3281111.05,1088223.12,1993-12-01,2207.8,319347.1,0,71.21935484,10301.51935,0,0,144.6449407
6,1994-01-01 00:00:00,HJN023,3281111.05,1088223.12,1994-01-01,2193.9,317908.3,0,70.77096774,10255.10645,0,0,144.9055563
7,1994-02-01 00:00:00,HJN023,3281111.05,1088223.12,1994-02-01,1930.9,294439,0,68.96071429,10515.67857,0,0,152.487959
8,1994-03-01 00:00:00,HJN023,3281111.05,1088223.12,1994-03-01,2181.8,361798.7,0,70.38064516,11670.92581,0,0,165.825786
9,1994-04-01 00:00:00,HJN023,3281111.05,1088223.12,1994-04-01,2059.8,179004.6,0,68.66,5966.82,0,0,86.90387416
10,1994-05-01 00:00:00,HJN023,3281111.05,1088223.12,1994-05-01,2068.2,301228.2,0,66.71612903,9717.03871,0,0,145.6475196
11,1994-06-01 00:00:00,HJN023,3281111.05,1088223.12,1994-06-01,2043.5,363213.6,0,68.11666667,12107.12,0,0,177.7409347
12,1994-07-01 00:00:00,HJN023,3281111.05,1088223.12,1994-07-01,2131.6,406602,0,68.76129032,13116.19355,0,0,190.7496716
13,1994-08-01 00:00:00,HJN023,3281111.05,1088223.12,1994-08-01,2134.2,360655.3,0,68.84516129,11634.04194,0,0,168.9885203
14,1994-09-01 00:00:00,HJN023,3281111.05,1088223.12,1994-09-01,2035.5,367208.9,0,67.85,12240.29667,0,0,180.402309
15,1994-10-01 00:00:00,HJN023,3281111.05,1088223.12,1994-10-01,2144.7,337257.6,0,69.18387097,10879.27742,0,0,157.2516436
16,1994-11-01 00:00:00,HJN023,3281111.05,1088223.12,1994-11-01,2046.2,309917,0,68.20666667,10330.56667,0,0,151.4597791
17,1994-12-01 00:00:00,HJN023,3281111.05,1088223.12,1994-12-01,2287.2,399650.3,0,73.78064516,12891.94516,0,0,174.7334295
18,1995-01-01 00:00:00,HJN023,3281111.05,1088223.12,1995-01-01,2365.4,355668.8,0,76.30322581,11473.1871,0,0,150.3630676
19,1995-02-01 00:00:00,HJN023,3281111.05,1088223.12,1995-02-01,2178.1,282414.1,0,77.78928571,10086.21786,0,0,129.6607594
20,1995-03-01 00:00:00,HJN023,3281111.05,1088223.12,1995-03-01,2398.4,292290.8,0,77.36774194,9428.735484,0,0,121.8690794
21,1995-04-01 00:00:00,HJN023,3281111.05,1088223.12,1995-04-01,2348.8,266793.2,0,78.29333333,8893.106667,0,0,113.5870232
22,1995-05-01 00:00:00,HJN023,3281111.05,1088223.12,1995-05-01,2360.7,249852.2,0,76.1516129,8059.748387,0,0,105.8381836
23,1995-06-01 00:00:00,HJN023,3281111.05,1088223.12,1995-06-01,2562.4,155232.7,0,85.41333333,5174.423333,0,0,60.58097877
24,1995-07-01 00:00:00,HJN023,3281111.05,1088223.12,1995-07-01,1963.5,273097.4,301.1,63.33870968,8809.593548,9.712903226,0.132959463,139.0870385
25,1995-08-01 00:00:00,HJN023,3281111.05,1088223.12,1995-08-01,1869.3,272584.3,237.4,60.3,8793.041935,7.658064516,0.11268809,145.821591
26,1995-09-01 00:00:00,HJN023,3281111.05,1088223.12,1995-09-01,1879.2,253103.5,236,62.64,8436.783333,7.866666667,0.111573374,134.6868348
